gamename,avg,gain,peak,avg_peak_perc
Counter-Strike: Global Offensive,741013.24,-2196.42,1123485,65.9567%
Dota 2,404832.13,-27839.52,651615,62.1275%
PLAYERUNKNOWN'S BATTLEGROUNDS,198957.52,-2289.67,447390,44.4707%
Apex Legends,120982.64,49215.9,196799,61.4752%
Rust,117742.27,-24374.98,224276,52.4988%
Team Fortress 2,101230.91,18082.74,133620,75.7603%
Grand Theft Auto V,90647.64,-10602.95,146438,61.9017%
Tom Clancy's Rainbow Six Siege,72382.76,-5334.66,113338,63.8645%
Rocket League,53723.01,-5726.15,103429,51.9419%
Path of Exile,46919.9,-765.71,90539,51.8229%
Football Manager 2021,53572.39,-2410.35,91247,58.7114%
ARK: Survival Evolved,61785.58,-1374.48,98637,62.6394%
Destiny 2,59394.05,14529.12,131640,45.1185%
Sid Meier's Civilization VI,41715.13,4983.63,68161,61.2009%
PAYDAY 2,26164.82,-3036.36,44327,59.0268%
Wallpaper Engine,41441.43,-3206.42,60437,68.5696%
Warframe,39209.96,3085.81,61032,64.2449%
Euro Truck Simulator 2,23637.94,-452.1,51888,45.5557%
Stardew Valley,38304.69,-18861.87,59709,64.1523%
Garry's Mod,27741.26,-313.17,45995,60.3136%
Dead by Daylight,35348.46,-994.04,52322,67.5595%
Dyson Sphere Program,31810.51,6285.57,59243,53.695%
War Thunder,28602.47,1124.78,43065,66.417%
Cyberpunk 2077,24704.84,-57441.83,47115,52.4352%
Total War: WARHAMMER II,28417.62,3795.22,48027,59.1701%
DayZ,22224.47,-4111.56,38533,57.6765%
Farming Simulator 19,17830.03,-1168.31,36777,48.4815%
Hearts of Iron IV,24476.67,-344,38222,64.0382%
World of Tanks Blitz,18714.36,-777.18,36904,50.7109%
The Elder Scrolls Online,19912.28,762.06,31886,62.4483%
Age of Empires II: Definitive Edition,18238.99,-1270.71,35154,51.8831%
Brawlhalla,16945.96,913.3,34169,49.5945%
Unturned,23555.92,1513.64,50209,46.9157%
